,County,State,Avg_house_price,Avg_property_tax,Tax_per_1000
3073,New Kent County,VA,258595.4102031025,1941.0522948984487,7.506135910818887
3074,Northampton County,VA,240751.74767886402,1386.373566357182,5.7585192204147555
3075,Northumberland County,VA,298452.6849894292,1315.4968287526426,4.407723216828275
3076,Nottoway County,VA,148921.39096702688,758.4926572457745,5.093241825908774
3077,Orange County,VA,297375.82521219744,1709.7244053232737,5.749372546014026
3078,Page County,VA,192482.53991720875,1307.3625073920757,6.7921096009768105
3079,Patrick County,VA,147106.45547945207,766.5924657534247,5.211140892865187
3080,Pittsylvania County,VA,141949.3927522037,757.6199804113614,5.337254113752449
3081,Powhatan County,VA,332968.2136498516,2272.5697329376853,6.825185227222659
3082,Prince Edward County,VA,177573.31208922525,929.3766182035451,5.233762930189426
3083,Prince George County,VA,239775.061824808,1615.7881036053625,6.73876628915621
3084,Prince William County,VA,336071.74778052233,3522.0180452060317,10.479958724486856
3085,Pulaski County,VA,159573.78579195362,987.4773468648061,6.188217832672357
3086,Rappahannock County,VA,534861.9615384615,2702.5,5.052705547103419
3087,Richmond County,VA,264612.01696512726,1222.0546654099905,4.61828861525606
3088,Roanoke County,VA,236195.15113569167,2117.6910501234825,8.965853193602992
3089,Rockbridge County,VA,228667.37875288684,1359.3389145496535,5.944612309649316
3090,Rockingham County,VA,224073.96244839983,1254.1479870389276,5.597026862626822
3091,Russell County,VA,122919.56041400162,598.3602744505175,4.867901190300376
3092,Scott County,VA,116808.34125798126,805.7600869447086,6.898138251660626
3093,Shenandoah County,VA,228950.62595913094,1158.379775462402,5.059517835383336
3094,Smyth County,VA,113779.35390118489,711.1111111111111,6.249913422154752
3095,Southampton County,VA,169180.21770985975,1201.758425790245,7.103421676943539
3096,Spotsylvania County,VA,272404.6578064837,1949.0404918643646,7.154945541529482
3097,Stafford County,VA,311029.63166407275,2646.6385913515824,8.509281180675679
3098,Surry County,VA,180405.1724137931,1366.5229885057472,7.574743951195425
3099,Sussex County,VA,135443.03201506592,843.361581920904,6.226688589096951
3100,Tazewell County,VA,120333.10031977393,650.1152673458764,5.402630411900433
3101,Warren County,VA,230782.02278670153,1521.0496824803886,6.590849946255158
3102,Washington County,VA,180058.63068181818,1023.7556818181819,5.685679591928374
3103,Westmoreland County,VA,237617.970637428,1178.944434120052,4.961512090005
3104,Wise County,VA,117197.29956234286,683.6856318092932,5.833629566230816
3105,Wythe County,VA,144966.21096051857,831.3376546847378,5.734699480495851
3106,York County,VA,326330.8927861967,2286.435098473239,7.00649294632136
3107,Alexandria city,VA,538596.8450223833,4865.384068784197,9.03344331432539
3108,Bristol city,VA,137130.84808946878,1045.2935694315004,7.622599757784009
3109,Buena Vista city,VA,129062.72054638588,1212.1798520204895,9.392176508357617
3110,Charlottesville city,VA,327154.33210533496,2780.065493246009,8.497718723012056
3111,Chesapeake city,VA,267011.8433835265,2588.0074248837695,9.692481771928168
3112,Colonial Heights city,VA,176488.28709819462,1845.7067371202113,10.457955978083103
3113,Covington city,VA,98090.8256880734,579.4387479762547,5.907165567337121
3114,Danville city,VA,116857.47780105757,829.6118926469121,7.099347925849244
3115,Emporia city,VA,128913.0389064143,946.3722397476341,7.341167718764758
3116,Fairfax city,VA,489986.06998654106,4274.192462987887,8.723089746419303
3117,Falls Church city,VA,727738.9703375384,7572.246846232527,10.405168824091394
3118,Franklin city,VA,192276.77998717126,1594.483643361129,8.292647939431443
3119,Fredericksburg city,VA,322958.5790508284,2222.7183375456334,6.882363503326578
3120,Galax city,VA,125388.27546955037,709.9032441661924,5.661639746680998
3121,Hampton city,VA,210074.96447946268,2076.5338413846553,9.884727799573952
3122,Harrisonburg city,VA,217725.7626520896,1409.028390054664,6.4715740245502875
3123,Hopewell city,VA,150070.19853258523,1327.7082434182132,8.847247864004947
3124,Lexington city,VA,278876.3888888889,1798.1837606837607,6.447959857226209
3125,Lynchburg city,VA,174397.5532274417,1634.883406556269,9.374462980132096
3126,Manassas city,VA,267128.5912298387,2973.0342741935483,11.129599645271725
3127,Manassas Park city,VA,228709.1946076737,3233.9094365710334,14.139831335239762
3128,Martinsville city,VA,110023.63691745355,988.3338409990862,8.982922839940246
3129,Newport News city,VA,210535.44517606642,2213.9536215287717,10.515823687917672
3130,Norfolk city,VA,242042.79239882325,2403.055842675784,9.928227231473086
3131,Norton city,VA,123689.29384965831,982.118451025057,7.940205821037356
3132,Petersburg city,VA,121375.64033673653,1377.55686906681,11.34953327739411
3133,Poquoson city,VA,321409.3542386394,2780.3614137656127,8.650530474919703
3134,Portsmouth city,VA,195150.94992205768,2169.1591971940766,11.115288949710099
3135,Radford city,VA,284180.10325655283,1146.26687847498,4.033593011401472
3136,Richmond city,VA,262090.08282476023,2763.0448997384483,10.542348149761494
3137,Roanoke city,VA,163484.8732977073,1683.0934321668678,10.295101915037367
3138,Salem city,VA,197716.8132359517,2009.6884781636606,10.164479415138734
3139,Staunton city,VA,193484.01909150757,1609.4305464121132,8.318157509695613
3140,Suffolk city,VA,283236.5042641989,2290.124296860824,8.085554871573438
3141,Virginia Beach city,VA,313131.73709185934,2597.7480919631316,8.296022996867496
3142,Waynesboro city,VA,178679.02467685076,1270.8382295338818,7.11240858759024
3143,Williamsburg city,VA,360203.60850222444,1954.8690064260998,5.427122217222395
3144,Winchester city,VA,265486.5947006869,1993.7389597644749,7.509753786296601
3151,Adams County,WA,154409.71927966102,1550.0264830508474,10.038399721739655
3152,Asotin County,WA,200772.21166032954,1919.7243346007604,9.561703378795212
3153,Benton County,WA,200848.4089654411,2075.0667991608702,10.331507278795101
3154,Chelan County,WA,288670.6211496072,2455.666082631549,8.506809847334168
3155,Clallam County,WA,241340.99679204053,2037.714445115998,8.443300028597553
3156,Clark County,WA,254894.05159827878,2891.438066697403,11.343685929769762
3157,Columbia County,WA,179946.67709147773,1548.7099296325255,8.606493627249494
3158,Cowlitz County,WA,204549.98858881704,2000.3651578546976,9.779346220721616
3159,Douglas County,WA,220362.19248179492,2048.346782129502,9.295363959943922
3160,Ferry County,WA,207899.9546073536,1360.916931457104,6.546018415575773
3161,Franklin County,WA,185380.0332266798,2064.822791041103,11.138323556756891
3162,Garfield County,WA,158936.12334801763,1421.1453744493392,8.941613426278808
3163,Grant County,WA,179018.3585789039,1890.6802533737261,10.561376321302783
3164,Grays Harbor County,WA,174123.17733205986,1710.4106972301815,9.82299268504824
3165,Island County,WA,339967.4855362706,2626.497552291945,7.725731618566
3166,Jefferson County,WA,318019.86545310647,2384.447962010289,7.497795644347529
3167,King County,WA,448421.3688458434,4268.857680925477,9.519746331252579
3168,Kitsap County,WA,305917.9404985422,2987.6097143991087,9.766049384126738
3169,Kittitas County,WA,306062.7226330591,2108.9365691073845,6.890537178014341
3170,Klickitat County,WA,225153.92785204176,1720.9851675517305,7.643593802559213
3171,Lewis County,WA,196696.0182309927,1720.955624561755,8.74931602601496
3172,Lincoln County,WA,170637.97250859108,1320.8762886597938,7.740810965116759
3173,Mason County,WA,237248.1278387061,2057.184003544921,8.67102312791907
3174,Okanogan County,WA,191454.881313582,1489.6930215955738,7.780909065230992
